indicator_id,component,component_name,subcomponent,subcomponent_name,topic,topic_name,subtopic,subtopic_name,statistic_num,statistic_name,category_of_measurement
1.1.3.a.3,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,a,"Geological, geographical and geomorphological conditions of terrestrial areas and islands",3,Number of islands,Number
1.1.3.a.4,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,a,"Geological, geographical and geomorphological conditions of terrestrial areas and islands",4,Area of islands,Area
1.1.3.a.5,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,a,"Geological, geographical and geomorphological conditions of terrestrial areas and islands",5,Main geomorphological characteristics of islands,Description
1.1.3.a.6,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,a,"Geological, geographical and geomorphological conditions of terrestrial areas and islands",6,Spatial distribution of land relief,"Description, Location"
1.1.3.a.7,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,a,"Geological, geographical and geomorphological conditions of terrestrial areas and islands",7,"Characteristics of landforms (e.g., plains, hills, plateaus, dunes, volcanoes, mountains, sea mounts)","Description, Area, Height"
1.1.3.a.8,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,a,"Geological, geographical and geomorphological conditions of terrestrial areas and islands",8,Area by rock types,Area
1.1.3.a.9,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,a,"Geological, geographical and geomorphological conditions of terrestrial areas and islands",9,Length of fault lines,Length
1.1.3.b,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,b,Coastal waters (including area of coral reefs and mangroves),NA,Coastal waters (including area of coral reefs and mangroves),"Area, Description"
1.1.3.c,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,c,Length of marine coastline,NA,Length of marine coastline,Length
1.1.3.d,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.3,Geological and geographical information,d,Coastal area,NA,Coastal area,Area
1.1.4.a.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,a,Soil characterization,1,Area by soil types,Area
1.1.4.b.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,b,Soil degradation,1,Area affected by soil erosion,Area
1.1.4.b.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,b,Soil degradation,2,Area affected by desertification,Area
1.1.4.b.3,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,b,Soil degradation,3,Area affected by salinization,Area
1.1.4.b.4,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,b,Soil degradation,4,Area affected by waterlogging,Area
1.1.4.b.5,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,b,Soil degradation,5,Area affected by acidification,Area
1.1.4.b.6,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,b,Soil degradation,6,Area affected by compaction,Area
1.1.4.c.1,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,c,"Nutrient content of soil, measured in levels of:",1,Nitrogen (N),Concentration
1.1.4.c.2,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,c,"Nutrient content of soil, measured in levels of:",2,Phosphorous (P),Concentration
1.1.4.c.3,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,c,"Nutrient content of soil, measured in levels of:",3,Calcium (Ca),Concentration
1.1.4.c.4,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,c,"Nutrient content of soil, measured in levels of:",4,Magnesium (Mg),Concentration
1.1.4.c.5,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,c,"Nutrient content of soil, measured in levels of:",5,Potassium (K),Concentration
1.1.4.c.6,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,c,"Nutrient content of soil, measured in levels of:",6,Zinc (Zn),Concentration
1.1.4.c.7,1,Environmental Conditions and Quality,1.1,Physical Conditions,1.1.4,Soil characteristics,c,"Nutrient content of soil, measured in levels of:",7,Other,Concentration
1.2.1.a.1,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.1,Land cover,a,Area under land cover categories,1,Area,Area
1.2.2.a.1,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,a,"General ecosystem characteristics, extent and pattern",1,Area of ecosystems,Area
1.2.2.a.2,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,a,"General ecosystem characteristics, extent and pattern",2,Proximity of ecosystem to urban areas and cropland,Distance
1.2.2.b.1,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,b,Ecosystems' chemical and physical characteristics,1,Nutrients,Concentration
1.2.2.b.2,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,b,Ecosystems' chemical and physical characteristics,2,Carbon,Concentration
1.2.2.b.3,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,b,Ecosystems' chemical and physical characteristics,3,Pollutants,Concentration
1.2.2.c.1,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,c,Biodiversity,1,Known flora and fauna species,Number
1.2.2.c.2,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,c,Biodiversity,2,Endemic flora and fauna species,Number
1.2.2.c.3,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,c,Biodiversity,3,Invasive alien flora and fauna species,Number
1.2.2.c.4,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,c,Biodiversity,4,Species population,Number
1.2.2.c.5,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,c,Biodiversity,5,Habitat fragmentation,"Area, Description,  Location,  Number"
1.2.2.d.1,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,d,Protected areas and species,1,Protected terrestrial and marine area (also in 1.2.3.a),"Number, Area"
1.2.2.d.2,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.2,Ecosystems and biodiversity,d,Protected areas and species,2,Protected flora and fauna species,Number
1.2.3.a.1,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.3,Forests,a,Forest area,1,Total,Area
1.2.3.a.2,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.3,Forests,a,Forest area,2,Natural,Area
1.2.3.a.3,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.3,Forests,a,Forest area,3,Planted,Area
1.2.3.a.4,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.3,Forests,a,Forest area,4,Protected forest area (also in 1.2.2.d),Area
1.2.3.a.5,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.3,Forests,a,Forest area,5,Forest area affected by fire,Area
1.2.3.b.1,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.3,Forests,b,Forest biomass,1,Total,Volume
1.2.3.b.2,1,Environmental Conditions and Quality,1.2,"Land Cover, Ecosystems and Biodiversity",1.2.3,Forests,b,Forest biomass,2,Carbon storage in living forest biomass,Mass
1.3.1.a.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,1,Concentration level of particulate matter (PM10),Concentration
1.3.1.a.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,2,Concentration level of particulate matter (PM2.5),Concentration
1.3.1.a.3,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,3,Concentration level of tropospheric ozone (O3),Concentration
1.3.1.a.4,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,4,Concentration level of carbon monoxide (CO),Concentration
1.3.1.a.5,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,5,Concentration level of sulphur dioxide (SO2),Concentration
1.3.1.a.6,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,6,Concentration levels of nitrogen oxides (NOX),Concentration
1.3.1.a.7,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,7,Concentration levels of heavy metals,Concentration
1.3.1.a.8,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,8,Concentration levels of non-methane volatile organic compounds (NMVOCs),Concentration
1.3.1.a.9,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,9,Concentration levels of dioxins,Concentration
1.3.1.a.10,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,10,Concentration levels of furans,Concentration
1.3.1.a.11,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,11,Concentration levels of other pollutants,Concentration
1.3.1.a.12,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,a,Local air quality,12,Number of days when maximum allowable levels were exceeded per year,Number
1.3.1.b.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,b,Global atmospheric concentrations of greenhouse gases,1,Global atmospheric concentration levels of carbon dioxide (CO2),Concentration
1.3.1.b.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.1,Air quality,b,Global atmospheric concentrations of greenhouse gases,2,Global atmospheric concentration levels of methane (CH4),Concentration
1.3.2.a.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,a,Nutrients and chlorophyll,1,Concentration level of nitrogen,Concentration
1.3.2.a.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,a,Nutrients and chlorophyll,2,Concentration level of phosphorous,Concentration
1.3.2.a.3,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,a,Nutrients and chlorophyll,3,Concentration level of chlorophyll A,Concentration
1.3.2.b.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,b,Organic matter,1,Biochemical oxygen demand (BOD),Concentration
1.3.2.b.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,b,Organic matter,2,Chemical oxygen demand (COD),Concentration
1.3.2.c.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,c,Pathogens,1,Concentration levels of faecal coliforms,Concentration
1.3.2.d.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,d,"Metals (e.g., mercury, lead, nickel, arsenic, cadmium)",1,Concentrations levels in sediment and freshwater,Concentration
1.3.2.d.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,d,"Metals (e.g., mercury, lead, nickel, arsenic, cadmium)",2,Concentration levels in freshwater organisms,Concentration
1.3.2.e.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,e,"Organic contaminants (e.g., PCBs, DDT, pesticides, furans, dioxins, phenols, radioactive waste)",1,Concentration levels in sediment and freshwater,Concentration
1.3.2.e.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,e,"Organic contaminants (e.g., PCBs, DDT, pesticides, furans, dioxins, phenols, radioactive waste)",2,Concentration levels in freshwater organisms,Concentration
1.3.2.f.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,f,Physical and chemical characteristics,1,pH/Acidity/Alkalinity,Level
1.3.2.f.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,f,Physical and chemical characteristics,2,Temperature,"Degrees
"
1.3.2.f.3,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,f,Physical and chemical characteristics,3,Total suspended solids (TSS),Concentration
1.3.2.f.4,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,f,Physical and chemical characteristics,4,Salinity,Concentration
1.3.2.f.5,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,f,Physical and chemical characteristics,5,Dissolved oxygen (DO),Concentration
1.3.2.g.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.2,Freshwater quality,g,Plastic waste and other freshwater debris,1,Amount of plastic waste and other debris,"Area, Mass"
1.3.3.a.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,a,Nutrients and chlorophyll,1,Concentration level of nitrogen,Concentration
1.3.3.a.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,a,Nutrients and chlorophyll,2,Concentration level of phosphorous,Concentration
1.3.3.a.3,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,a,Nutrients and chlorophyll,3,Concentration level of chlorophyll A,Concentration
1.3.3.b.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,b,Organic matter,1,Biochemical oxygen demand (BOD),Concentration
1.3.3.b.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,b,Organic matter,2,Chemical oxygen demand (COD),Concentration
1.3.3.c.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,c,Pathogens,1,Concentration levels of faecal coliforms in recreational marine waters,Concentration
1.3.3.d.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,d,"Metals (e.g., mercury, lead, nickel, arsenic, cadmium)",1,Concentration levels in sediment and marine water,Concentration
1.3.3.d.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,d,"Metals (e.g., mercury, lead, nickel, arsenic, cadmium)",2,Concentration levels in marine organisms,Concentration
1.3.3.e.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,e,"Organic contaminants (e.g., PCBs, DDT, pesticides, furans, dioxins, phenols, radioactive waste)",1,Concentration levels in sediment and marine water,Concentration
1.3.3.e.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,e,"Organic contaminants (e.g., PCBs, DDT, pesticides, furans, dioxins, phenols, radioactive waste)",2,Concentration levels in marine organisms,Concentration
1.3.3.f.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,f,Physical and chemical characteristics,1,pH/Acidity/Alkalinity,Level
1.3.3.f.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,f,Physical and chemical characteristics,2,Temperature,Degrees
1.3.3.f.3,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,f,Physical and chemical characteristics,3,Total suspended solids (TSS),Concentration
1.3.3.f.4,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,f,Physical and chemical characteristics,4,Salinity,Concentration
1.3.3.f.5,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,f,Physical and chemical characteristics,5,Dissolved oxygen (DO),Concentration
1.3.3.f.6,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,f,Physical and chemical characteristics,6,Density,Density
1.3.3.g.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,g,Coral bleaching,1,Area affected by coral bleaching,Area
1.3.3.h.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,h,Plastic waste and other freshwater debris,1,Amount of plastic waste and other debris in marine waters,"Area, Mass"
1.3.3.i.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,i,Red tide,1,Occurrence,Number
1.3.3.i.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,i,Red tide,2,Impacted area,Area
1.3.3.i.3,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,i,Red tide,3,Duration,Duration
1.3.3.j.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,j,Oil pollution,1,Area of oil slicks,Area
1.3.3.j.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.3,Marine water quality,j,Oil pollution,2,Amount of tar balls,"Area, Diameter, Number"
1.3.4.a.1,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.4,Soil pollution,a,Sites affected by pollution,1,Contaminated sites,"Area, Number"
1.3.4.a.2,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.4,Soil pollution,a,Sites affected by pollution,2,Potentially contaminated sites,"Area, Number"
1.3.4.a.3,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.4,Soil pollution,a,Sites affected by pollution,3,Remediated sites,"Area, Number"
1.3.4.a.4,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.4,Soil pollution,a,Sites affected by pollution,4,Other sites,"Area, Number"
1.3.5.a,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.5,Noise,a,Noise levels from specific sources,NA,Noise levels from specific sources,Level
1.3.5.b,1,Environmental Conditions and Quality,1.3,Environmental Quality,1.3.5,Noise,b,Noise levels in specific locations,NA,Noise levels in specific locations,Level
2.1.1.a.1,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,1,Stocks of commercially recoverable resources,"Mass, Volume"
2.1.1.a.2,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,2,New discoveries,"Mass, Volume"
2.1.1.a.3,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,3,Upward reappraisals,"Mass, Volume"
2.1.1.a.4,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,4,Upward reclassifications,"Mass, Volume"
2.1.1.a.5,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,5,Extraction,"Mass, Volume"
2.1.1.a.6,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,6,Catastrophic losses,"Mass, Volume"
2.1.1.a.7,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,7,Downward reappraisals,"Mass, Volume"
2.1.1.a.8,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,8,Downward reclassifications,"Mass, Volume"
2.1.1.a.9,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,9,Stocks of potentially commercially recoverable resources,"Mass, Volume"
2.1.1.a.10,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.1,Stocks and changes of mineral resources,a,Mineral resources,10,Stocks of non-commercial and other known resources,"Mass, Volume"
2.1.2.a,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.2,Production and trade of minerals,a,Production of minerals,NA,Production of minerals,"Mass, Volume"
2.1.2.b,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.2,Production and trade of minerals,b,Imports of minerals,NA,Imports of minerals,"Currency, Mass, Volume"
2.1.2.c,2,Environmental Resources and their Use,2.1,Mineral Resources,2.1.2,Production and trade of minerals,c,Exports of minerals,NA,Exports of minerals,"Currency, Mass, Volume"
2.2.1.a.1,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,1,Stocks of commercially recoverable resources,"Mass, Volume"
2.2.1.a.2,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,2,New discoveries,"Mass, Volume"
2.2.1.a.3,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,3,Upward reappraisals,"Mass, Volume"
2.2.1.a.4,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,4,Upward reclassifications,"Mass, Volume"
2.2.1.a.5,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,5,Extraction,"Mass, Volume"
2.2.1.a.6,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,6,Catastrophic losses,"Mass, Volume"
2.2.1.a.7,2,Environmental Resources and their Use,2.2,Energy Resources,2.2.1,Stocks and changes of  energy resources,a,Energy resources,7,Downward reappraisals,"Mass, Volume"
